id,author_id,date,topic,keywords,engagement,civility
1,280,2020-01-26,immigra,immigration law|refugees welcome|wall,202,0.505
2,120,2021-08-27,immigra,opportunity|deport,14,0.493
3,446,2021-07-28,capitol,riot,48,0.102
4,491,2020-06-12,capitol,partisan|voting|bill,25,0.51
5,414,2020-04-14,gun,gun laws,138,0.63
6,425,2021-04-15,capitol,constitution|gridlock|patriot,120,0.695
7,41,2021-08-14,gun,assault weapon,222,0.167
8,187,2020-04-13,blacklivesmatter,George Floyd|activism,151,0.626
9,326,2021-01-14,abortion,supreme court|procedure,11,0.502
10,474,2021-06-30,abortion,clinic|abortion law|abortion ban,71,0.344
11,34,2021-12-02,blacklivesmatter,brotherhood|community,76,0.909
12,453,2021-08-03,blacklivesmatter,assemble|peaceful|violence,103,0.415
13,220,2020-05-26,covid,community health|quarantine,206,0.683
14,47,2021-01-05,rights,freedom of speech,106,0.788
15,196,2020-04-22,capitol,senate,9,0.564
16,275,2021-06-25,covid,public health|stay safe,171,0.749
17,449,2021-10-18,climate,renewable energy|ecology,461,0.75
18,446,2021-05-27,climate,carbon emissions,365,0.522
19,473,2021-10-16,climate,hoax|protect planet|green jobs,460,0.562
20,186,2021-09-05,capitol,fraud|democracy,17,0.546
21,249,2020-09-02,climate,protect planet,13,0.937
22,485,2021-06-29,immigra,innovation,161,0.716
23,160,2020-09-28,abortion,life begins|supreme court|pro-life,33,0.272
24,127,2021-11-18,rights,privacy|legal rights|court,90,0.604
25,363,2020-03-06,blacklivesmatter,solidarity|blue lives matter,1,0.477
26,37,2020-08-22,capitol,freedom,294,0.778
27,243,2020-10-12,blacklivesmatter,movement|peaceful|riots,126,0.579
28,221,2021-04-29,blacklivesmatter,peaceful|justice,15,0.941
29,32,2021-03-09,gun,open carry|assault weapon,155,0.369
30,275,2020-12-13,rights,equality,31,0.884
31,414,2020-05-23,covid,pandemic|social distancing,11,0.451
32,435,2020-02-21,immigra,illegal|opportunity|diversity,391,0.64
33,2,2020-06-19,blacklivesmatter,movement|peaceful,26,0.761
34,375,2020-09-28,rights,justice|law,178,0.644
35,32,2020-06-07,covid,infection,199,0.503
36,471,2020-02-28,gun,mass shooting,97,0.067
37,62,2020-02-28,abortion,healthcare|abortion law|women's rights,40,0.655
38,299,2021-08-15,blacklivesmatter,brotherhood|all lives matter|stand together,81,0.588
39,344,2020-09-24,gun,violence,75,0.092
40,319,2021-04-13,climate,conspiracy|renewable energy,1,0.414
41,126,2020-03-16,immigra,refugees welcome|illegal|immigration law,10,0.538
42,361,2020-10-18,gun,open carry,269,0.534
43,481,2021-09-18,climate,carbon emissions|sustainability|alarmism,163,0.534
44,80,2020-09-27,abortion,reproductive freedom,203,0.782
45,251,2020-10-15,climate,protect planet|fake science|climate change,45,0.537
46,142,2020-02-22,climate,alarmism,82,0.268
47,288,2020-01-04,capitol,liberty|bill,183,0.693
48,428,2020-04-24,capitol,liberty,118,0.876
49,498,2021-08-19,gun,background checks|gun laws|kill,405,0.513
50,182,2021-01-01,capitol,legislation,164,0.512
51,13,2021-09-27,rights,freedom of speech|equality|abuse,319,0.72
52,360,2020-12-06,abortion,clinic|procedure,26,0.486
53,157,2021-01-26,immigra,deportation,92,0.466
54,169,2020-08-16,blacklivesmatter,looting,32,0.141
55,170,2020-03-12,climate,climate change|alarmism,278,0.3
56,306,2020-04-28,capitol,senate|bill,5,0.521
57,296,2020-12-19,rights,violations|privacy|law,72,0.476
58,267,2020-09-17,blacklivesmatter,chaos,85,0.023
59,64,2021-01-07,blacklivesmatter,stand together|looting,163,0.526
60,357,2021-06-03,climate,alarmism|global warming,59,0.342
61,463,2021-07-21,climate,protect planet,169,0.746
62,156,2021-09-22,abortion,Texas law|murder|procedure,269,0.44
63,346,2020-08-03,climate,conspiracy|hoax,87,0.065
64,146,2021-06-07,blacklivesmatter,anarchy|unity,161,0.408
65,24,2020-04-05,gun,violence,23,0.066
66,295,2021-05-01,blacklivesmatter,stand together|activism|demonstration,325,0.761
67,385,2021-12-14,blacklivesmatter,movement|rally,1,0.558
68,357,2021-03-11,immigra,innovation,244,0.873
69,287,2020-02-21,covid,quarantine|stay safe|microchip,113,0.504
70,281,2021-03-29,gun,assault weapon|concealed carry|gun laws,266,0.425
71,399,2020-06-11,covid,5G|conspiracy|community health,48,0.324
72,366,2021-10-03,covid,social distancing,86,0.454
73,197,2020-08-28,climate,climate change|conspiracy,24,0.341
74,170,2021-12-24,abortion,healthcare,80,0.787
75,485,2021-03-01,covid,COVID-19,220,0.575
76,153,2021-08-12,capitol,fraud|democracy,429,0.482
77,140,2021-03-05,rights,oppression|abuse|court,100,0.326
78,348,2021-05-12,rights,law,61,0.448
79,340,2020-06-18,rights,freedom of speech|judiciary,134,0.594
80,134,2020-03-26,capitol,partisan|liberty|scandal,30,0.437
81,386,2020-12-01,rights,legal rights,71,0.511
82,277,2020-09-15,rights,legal rights,2,0.625
83,487,2020-12-24,capitol,patriot,210,0.834
84,65,2020-07-23,blacklivesmatter,all lives matter,24,0.089
85,311,2021-11-16,covid,COVID-19,69,0.512
86,160,2020-06-16,immigra,diversity|alien,3,0.508
87,396,2021-02-10,rights,equality|civil rights|judiciary,16,0.738
88,178,2021-12-01,climate,conspiracy|renewable energy|hoax,228,0.268
89,251,2021-11-08,rights,civil rights|court,81,0.685
90,223,2021-03-19,immigra,wall|deportation,184,0.294
91,437,2021-06-18,abortion,procedure|sin|clinic,46,0.309
92,292,2020-03-29,blacklivesmatter,activism|community,208,0.772
93,409,2020-12-10,rights,legal rights,35,0.569
94,285,2020-12-14,climate,hoax|fake science,318,0.099
95,124,2021-06-13,capitol,patriot,121,0.823
96,151,2021-10-23,covid,5G|conspiracy|anti-mask,2,0.134
97,218,2021-02-18,blacklivesmatter,community|protest|looting,113,0.447
98,62,2020-12-26,gun,open carry|second amendment|assault weapon,43,0.356
99,111,2020-11-19,blacklivesmatter,anarchy,30,0.0
100,152,2020-10-10,covid,microchip|infection|vaccination,268,0.438
